file,original_snr,new_snr
noisy10_SNRdb_0.0_clnsp10.wav,0.0,26.344605812502344
noisy10_SNRdb_10.0_clnsp10.wav,10.0,28.639158638871752
noisy10_SNRdb_20.0_clnsp10.wav,20.0,30.488956781491243
noisy10_SNRdb_30.0_clnsp10.wav,30.0,31.95286886103908
noisy10_SNRdb_40.0_clnsp10.wav,40.0,32.936210374993266
noisy11_SNRdb_0.0_clnsp11.wav,0.0,25.01633160104194
noisy11_SNRdb_10.0_clnsp11.wav,10.0,27.67792744198193
noisy11_SNRdb_20.0_clnsp11.wav,20.0,29.870765379765448
noisy11_SNRdb_30.0_clnsp11.wav,30.0,31.301186419219974
noisy11_SNRdb_40.0_clnsp11.wav,40.0,32.9773958810619
noisy12_SNRdb_0.0_clnsp12.wav,0.0,25.90580992370684
noisy12_SNRdb_10.0_clnsp12.wav,10.0,27.583459420839993
noisy12_SNRdb_20.0_clnsp12.wav,20.0,29.514122017922194
noisy12_SNRdb_30.0_clnsp12.wav,30.0,31.18095143634475
noisy12_SNRdb_40.0_clnsp12.wav,40.0,32.33430351852766
noisy13_SNRdb_0.0_clnsp13.wav,0.0,29.369136374868248
noisy13_SNRdb_10.0_clnsp13.wav,10.0,30.809734553060302
noisy13_SNRdb_20.0_clnsp13.wav,20.0,31.931054445038498
noisy13_SNRdb_30.0_clnsp13.wav,30.0,32.49719658103411
noisy13_SNRdb_40.0_clnsp13.wav,40.0,32.94703559225327
noisy14_SNRdb_0.0_clnsp14.wav,0.0,27.230101338545772
noisy14_SNRdb_10.0_clnsp14.wav,10.0,29.801724420665373
noisy14_SNRdb_20.0_clnsp14.wav,20.0,31.423295505914716
noisy14_SNRdb_30.0_clnsp14.wav,30.0,32.18621194258853
noisy14_SNRdb_40.0_clnsp14.wav,40.0,33.002916786630344
noisy15_SNRdb_0.0_clnsp15.wav,0.0,26.48411864600062
noisy15_SNRdb_10.0_clnsp15.wav,10.0,29.130352913616917
noisy15_SNRdb_20.0_clnsp15.wav,20.0,30.384660517252943
noisy15_SNRdb_30.0_clnsp15.wav,30.0,32.2323244726557
noisy15_SNRdb_40.0_clnsp15.wav,40.0,33.220829385106285
noisy16_SNRdb_0.0_clnsp16.wav,0.0,28.469860958354737
noisy16_SNRdb_10.0_clnsp16.wav,10.0,30.052447543542883
noisy16_SNRdb_20.0_clnsp16.wav,20.0,31.25860428399033
noisy16_SNRdb_30.0_clnsp16.wav,30.0,31.948521225092605
noisy16_SNRdb_40.0_clnsp16.wav,40.0,32.132517186238914
noisy17_SNRdb_0.0_clnsp17.wav,0.0,27.604580462685078
noisy17_SNRdb_10.0_clnsp17.wav,10.0,28.916598351123007
noisy17_SNRdb_20.0_clnsp17.wav,20.0,30.941777615661668
noisy17_SNRdb_30.0_clnsp17.wav,30.0,32.35781949685269
noisy17_SNRdb_40.0_clnsp17.wav,40.0,33.244434589874025
noisy18_SNRdb_0.0_clnsp18.wav,0.0,32.49723747255165
noisy18_SNRdb_10.0_clnsp18.wav,10.0,32.71155849245137
noisy18_SNRdb_20.0_clnsp18.wav,20.0,31.884770662259253
noisy18_SNRdb_30.0_clnsp18.wav,30.0,31.263293045635447
noisy18_SNRdb_40.0_clnsp18.wav,40.0,31.068380503911698
noisy19_SNRdb_0.0_clnsp19.wav,0.0,26.36404002613221
noisy19_SNRdb_10.0_clnsp19.wav,10.0,28.31525983670682
noisy19_SNRdb_20.0_clnsp19.wav,20.0,30.11329796460391
noisy19_SNRdb_30.0_clnsp19.wav,30.0,32.01777141158375
noisy19_SNRdb_40.0_clnsp19.wav,40.0,33.04527322378685
noisy1_SNRdb_0.0_clnsp1.wav,0.0,31.232013675515155
noisy1_SNRdb_10.0_clnsp1.wav,10.0,31.921215401623616
noisy1_SNRdb_20.0_clnsp1.wav,20.0,32.27593032699055
noisy1_SNRdb_30.0_clnsp1.wav,30.0,32.22194940372107
noisy1_SNRdb_40.0_clnsp1.wav,40.0,32.14536612378831
noisy20_SNRdb_0.0_clnsp20.wav,0.0,29.424907431852105
noisy20_SNRdb_10.0_clnsp20.wav,10.0,29.739696924505704
noisy20_SNRdb_20.0_clnsp20.wav,20.0,30.542831207924074
noisy20_SNRdb_30.0_clnsp20.wav,30.0,30.40663082695437
noisy20_SNRdb_40.0_clnsp20.wav,40.0,30.74127167111492
noisy21_SNRdb_0.0_clnsp21.wav,0.0,31.672917393998308
noisy21_SNRdb_10.0_clnsp21.wav,10.0,32.36106179899159
noisy21_SNRdb_20.0_clnsp21.wav,20.0,32.896486084902904
noisy21_SNRdb_30.0_clnsp21.wav,30.0,32.92796748038408
noisy21_SNRdb_40.0_clnsp21.wav,40.0,32.98645510542774
noisy22_SNRdb_0.0_clnsp22.wav,0.0,28.0702271423135
noisy22_SNRdb_10.0_clnsp22.wav,10.0,29.8477146192946
noisy22_SNRdb_20.0_clnsp22.wav,20.0,31.073179535059566
noisy22_SNRdb_30.0_clnsp22.wav,30.0,31.546346508676223
noisy22_SNRdb_40.0_clnsp22.wav,40.0,31.62092044474161
noisy23_SNRdb_0.0_clnsp23.wav,0.0,24.7969373149932
noisy23_SNRdb_10.0_clnsp23.wav,10.0,28.17977398100135
noisy23_SNRdb_20.0_clnsp23.wav,20.0,29.518601592616108
noisy23_SNRdb_30.0_clnsp23.wav,30.0,31.217532883758416
noisy23_SNRdb_40.0_clnsp23.wav,40.0,32.66351675295751
noisy24_SNRdb_0.0_clnsp24.wav,0.0,28.38355150784686
noisy24_SNRdb_10.0_clnsp24.wav,10.0,30.113924309946647
