file,original_snr,new_snr
noisy26_SNRdb_30.0_clnsp26.wav,30.0,27.891387422219772
noisy26_SNRdb_40.0_clnsp26.wav,40.0,27.569592903832614
noisy27_SNRdb_0.0_clnsp27.wav,0.0,22.586845078657696
noisy27_SNRdb_10.0_clnsp27.wav,10.0,25.672924850460493
noisy27_SNRdb_20.0_clnsp27.wav,20.0,25.037832500660553
noisy27_SNRdb_30.0_clnsp27.wav,30.0,23.857215429910788
noisy27_SNRdb_40.0_clnsp27.wav,40.0,25.952108089526845
noisy28_SNRdb_0.0_clnsp28.wav,0.0,22.20500141718182
noisy28_SNRdb_10.0_clnsp28.wav,10.0,24.472723980364492
noisy28_SNRdb_20.0_clnsp28.wav,20.0,25.285215980779174
noisy28_SNRdb_30.0_clnsp28.wav,30.0,25.50491705205399
noisy28_SNRdb_40.0_clnsp28.wav,40.0,26.190036877482914
noisy29_SNRdb_0.0_clnsp29.wav,0.0,22.42128375566514
noisy29_SNRdb_10.0_clnsp29.wav,10.0,25.260967084979015
noisy29_SNRdb_20.0_clnsp29.wav,20.0,26.23761130019914
noisy29_SNRdb_30.0_clnsp29.wav,30.0,25.44509772728954
noisy29_SNRdb_40.0_clnsp29.wav,40.0,25.934816687354115
noisy2_SNRdb_0.0_clnsp2.wav,0.0,20.219638094281798
noisy2_SNRdb_10.0_clnsp2.wav,10.0,23.38861570121102
noisy2_SNRdb_20.0_clnsp2.wav,20.0,23.9399281926234
noisy2_SNRdb_30.0_clnsp2.wav,30.0,26.740131110232163
noisy2_SNRdb_40.0_clnsp2.wav,40.0,26.68495326818554
noisy3_SNRdb_0.0_clnsp3.wav,0.0,19.51302007288691
noisy3_SNRdb_10.0_clnsp3.wav,10.0,26.152572650117612
noisy3_SNRdb_20.0_clnsp3.wav,20.0,28.513442400135776
noisy3_SNRdb_30.0_clnsp3.wav,30.0,28.730903383687973
noisy3_SNRdb_40.0_clnsp3.wav,40.0,27.70550956829165
noisy4_SNRdb_0.0_clnsp4.wav,0.0,nan
noisy4_SNRdb_10.0_clnsp4.wav,10.0,24.08827038223088
noisy4_SNRdb_20.0_clnsp4.wav,20.0,28.31223729535371
noisy4_SNRdb_30.0_clnsp4.wav,30.0,27.83248336842615
noisy4_SNRdb_40.0_clnsp4.wav,40.0,26.550309700941554
noisy5_SNRdb_0.0_clnsp5.wav,0.0,20.434684479432615
noisy5_SNRdb_10.0_clnsp5.wav,10.0,24.99904305869518
noisy5_SNRdb_20.0_clnsp5.wav,20.0,27.18342386997849
noisy5_SNRdb_30.0_clnsp5.wav,30.0,27.322974730694334
noisy5_SNRdb_40.0_clnsp5.wav,40.0,25.44744494024323
noisy6_SNRdb_0.0_clnsp6.wav,0.0,24.320663599622748
noisy6_SNRdb_10.0_clnsp6.wav,10.0,25.884954186000417
noisy6_SNRdb_20.0_clnsp6.wav,20.0,25.780395166313596
noisy6_SNRdb_30.0_clnsp6.wav,30.0,26.67082701836447
noisy6_SNRdb_40.0_clnsp6.wav,40.0,26.960785770752082
noisy7_SNRdb_0.0_clnsp7.wav,0.0,22.864616016094452
noisy7_SNRdb_10.0_clnsp7.wav,10.0,25.86904324880831
noisy7_SNRdb_20.0_clnsp7.wav,20.0,26.73274999705645
noisy7_SNRdb_30.0_clnsp7.wav,30.0,27.881789608652404
