file,original_snr,new_snr
noisy10_SNRdb_0.0_clnsp10.wav,0.0,27.341968457125574
noisy10_SNRdb_10.0_clnsp10.wav,10.0,28.930926831195926
noisy10_SNRdb_20.0_clnsp10.wav,20.0,30.303264447934772
noisy10_SNRdb_30.0_clnsp10.wav,30.0,31.72487957338747
noisy10_SNRdb_40.0_clnsp10.wav,40.0,33.00837089253817
noisy11_SNRdb_0.0_clnsp11.wav,0.0,24.736174831427952
noisy11_SNRdb_10.0_clnsp11.wav,10.0,27.971947297958778
noisy11_SNRdb_20.0_clnsp11.wav,20.0,29.741074889010424
noisy11_SNRdb_30.0_clnsp11.wav,30.0,31.41883368798785
noisy11_SNRdb_40.0_clnsp11.wav,40.0,33.17049163211792
noisy12_SNRdb_0.0_clnsp12.wav,0.0,25.505274984399048
noisy12_SNRdb_10.0_clnsp12.wav,10.0,27.568974389836658
noisy12_SNRdb_20.0_clnsp12.wav,20.0,29.82824426433252
noisy12_SNRdb_30.0_clnsp12.wav,30.0,31.274089750482613
noisy12_SNRdb_40.0_clnsp12.wav,40.0,32.44256149015666
noisy13_SNRdb_0.0_clnsp13.wav,0.0,29.2071135952806
noisy13_SNRdb_10.0_clnsp13.wav,10.0,31.23689741646984
noisy13_SNRdb_20.0_clnsp13.wav,20.0,32.00079905916893
noisy13_SNRdb_30.0_clnsp13.wav,30.0,32.70080605976339
noisy13_SNRdb_40.0_clnsp13.wav,40.0,33.031983173024464
noisy14_SNRdb_0.0_clnsp14.wav,0.0,28.191192016162077
noisy14_SNRdb_10.0_clnsp14.wav,10.0,30.036828890803108
noisy14_SNRdb_20.0_clnsp14.wav,20.0,31.340829217973827
noisy14_SNRdb_30.0_clnsp14.wav,30.0,32.45884707693186
noisy14_SNRdb_40.0_clnsp14.wav,40.0,32.98242555197595
noisy15_SNRdb_0.0_clnsp15.wav,0.0,27.154445434223142
noisy15_SNRdb_10.0_clnsp15.wav,10.0,28.808611231508504
noisy15_SNRdb_20.0_clnsp15.wav,20.0,30.488703956340267
noisy15_SNRdb_30.0_clnsp15.wav,30.0,32.357413995669276
noisy15_SNRdb_40.0_clnsp15.wav,40.0,33.399625355571686
noisy16_SNRdb_0.0_clnsp16.wav,0.0,29.24055387711213
noisy16_SNRdb_10.0_clnsp16.wav,10.0,30.271183297643645
noisy16_SNRdb_20.0_clnsp16.wav,20.0,31.84258983495536
noisy16_SNRdb_30.0_clnsp16.wav,30.0,32.2497571579038
noisy16_SNRdb_40.0_clnsp16.wav,40.0,32.40482542975386
noisy17_SNRdb_0.0_clnsp17.wav,0.0,27.609458445199706
noisy17_SNRdb_10.0_clnsp17.wav,10.0,29.580611417705633
